step,loss,lr,dataset,label,elapsed_min
20,2.549,8.00e-05,nih,1,1.84
40,1.461,1.60e-04,nih,1,3.59
60,0.6034,2.00e-04,chexpert,0,4.83
80,0.461,2.00e-04,mimic_reports,0,6.44
100,0.4514,2.00e-04,nih,1,8.23
120,0.5385,2.00e-04,nih,1,10.08
140,0.2755,2.00e-04,nih,0,11.95
160,0.3757,1.99e-04,chexpert,0,13.59
180,0.8041,1.99e-04,mimic_reports,0,40.27
200,0.5968,1.99e-04,nih,1,41.92
220,0.5217,1.98e-04,nih,1,43.7
240,0.43,1.98e-04,mimic_reports,0,45.37
260,0.5168,1.98e-04,chexpert,1,47.02
280,0.6445,1.97e-04,nih,0,48.69
300,0.5218,1.96e-04,nih,1,50.29
320,0.282,1.96e-04,chexpert,0,52.11
340,0.3772,1.95e-04,chexpert,1,53.91
360,0.3906,1.95e-04,chexpert,0,55.6
380,0.3669,1.94e-04,chexpert,0,57.07
400,0.4686,1.93e-04,mimic_reports,1,58.67
420,0.4044,1.92e-04,mimic_reports,0,60.2
440,0.3703,1.91e-04,chexpert,1,61.93
460,0.5887,1.91e-04,nih,0,63.72
480,0.3451,1.90e-04,mimic_reports,0,65.45
500,0.5998,1.89e-04,chexpert,0,66.82
520,0.3394,1.88e-04,mimic_reports,0,68.31
540,0.4142,1.87e-04,mimic_reports,1,70.13
560,0.3518,1.86e-04,mimic_reports,0,71.93
580,0.3266,1.84e-04,chexpert,1,73.6
600,0.5253,1.83e-04,nih,0,75.36
620,0.5875,1.82e-04,nih,1,77.11
640,0.4711,1.81e-04,nih,1,78.86
660,0.4172,1.80e-04,nih,0,80.6
680,0.2279,1.78e-04,chexpert,0,82.35
700,0.3702,1.77e-04,nih,1,84.03
720,0.2524,1.76e-04,nih,0,85.77
740,0.3252,1.74e-04,nih,1,87.52
760,0.3159,1.73e-04,mimic_reports,0,89.25
780,0.4703,1.71e-04,mimic_reports,1,90.92
800,0.4215,1.70e-04,mimic_reports,1,92.7
820,0.2169,1.68e-04,chexpert,0,94.52
840,0.6606,1.67e-04,nih,1,96.33
860,0.4123,1.65e-04,mimic_reports,1,98.14
880,0.6015,1.63e-04,mimic_reports,0,99.93
900,0.3404,1.62e-04,chexpert,1,101.7
920,0.3084,1.60e-04,mimic_reports,0,103.51
940,0.3679,1.58e-04,chexpert,1,105.3
960,0.4948,1.57e-04,chexpert,1,107.1
980,0.408,1.55e-04,chexpert,1,108.8
1000,0.5434,1.53e-04,nih,1,110.62
1020,0.3546,1.51e-04,nih,0,112.43
1040,0.6197,1.49e-04,mimic_reports,1,114.27
1060,0.5341,1.48e-04,chexpert,1,116.01
1080,0.2056,1.46e-04,chexpert,0,117.8
1100,0.3665,1.44e-04,chexpert,0,119.56
1120,0.2035,1.42e-04,nih,1,121.29
1140,0.3146,1.40e-04,nih,1,123.02
1160,0.4537,1.38e-04,chexpert,0,124.68
1180,0.3979,1.36e-04,mimic_reports,1,126.46
1200,0.2229,1.34e-04,mimic_reports,0,128.23
1220,0.2569,1.32e-04,nih,0,130.03
1240,0.4413,1.30e-04,chexpert,1,131.84
1260,0.3254,1.28e-04,nih,0,133.65
1280,0.3902,1.26e-04,chexpert,0,135.32
1300,0.4077,1.24e-04,mimic_reports,0,137.12
1320,0.4817,1.22e-04,mimic_reports,0,138.8
1340,0.2835,1.20e-04,nih,0,140.6
1360,0.3024,1.17e-04,nih,1,142.3
1380,0.5274,1.15e-04,mimic_reports,0,143.95
1400,0.3026,1.13e-04,mimic_reports,0,145.74
1420,0.319,1.11e-04,mimic_reports,1,147.51
1440,0.4119,1.09e-04,nih,0,149.23
1460,0.3732,1.07e-04,nih,0,150.95
1480,0.4335,1.05e-04,chexpert,1,152.63
1500,0.3816,1.03e-04,mimic_reports,0,154.29
